summer	small	medium	7.95	 5.70	 57.3330	 2.460	  273.333	 295.667	 380.000	 4.500	15.56959
winter	small	medium	7.98	 8.80	 59.3330	 7.392	  286.667	  33.333	 138.000	 7.100	19.10181
summer	small	medium	8.00	 7.20	 80.0000	 1.957	  174.286	  47.857	 113.714	 4.500	16.85162
spring	small	high	8.35	 8.40	 68.0000	 3.026	  458.000	  45.200	 111.800	 3.200	19.40185
spring	small	medium	8.10	13.20	 19.0000	 0.000	  130.000	   6.000	  40.000	 2.000	10.98315
summer	small	medium	8.37	12.10	 12.8500	 0.840	   15.000	   5.000	  10.507	13.800	20.98241
spring	small	high	7.31	 9.90	  6.0000	 1.395	   58.750	   6.000	  16.000	 0.800	23.54838
autumn	small	high	7.91	11.20	  5.0000	 1.383	    6.000	  24.333	  30.000	32.000	44.23518
summer	small	high	7.99	10.70	  4.0000	 1.368	  117.000	  17.250	  44.750	 0.800	-3.32011
autumn	small	high	7.82	11.50	  8.1800	 1.488	   39.000	  16.000	 139.500	 0.400	45.64584
summer	small	medium	7.90	 6.00	 63.0000	 1.053	11160.600	1435.000	1690.000	 4.500	-82.16536
autumn	small	medium	8.02	 9.40	 18.7400	 1.598	 6249.600	 455.800	 690.600	 2.000	12.19849
summer	small	high	6.60	10.80	  4.0000	 1.180	   80.000	   2.000	  59.000	 0.600	40.92848
autumn	small	high	6.79	 9.40	 11.4200	 1.966	   42.000	   3.000	  15.000	 0.600	44.9216
summer	small	high	6.78	10.20	 10.7040	 1.460	   46.000	   3.000	  13.714	 0.700	29.14239
summer	small	high	7.80	10.80	 14.5680	 1.228	   61.250	  34.500	  62.000	 1.100	13.13004
spring	small	high	8.30	12.70	 27.0000	 4.040	   10.000	 363.000	 482.000	 6.000	18.05537
spring	small	medium	7.97	 2.50	 32.1250	 1.034	 7912.500	 132.625	 164.620	 1.000	-15.75373
autumn	small	high	8.20	11.30	  6.0000	 1.560	   10.000	   2.000	   5.000	 4.500	35.82684
summer	small	high	8.20	10.40	  3.5770	 0.788	   10.583	   1.667	   2.088	 0.800	33.66227
autumn	small	medium	8.10	 6.40	 21.2000	 3.222	   44.000	  54.800	 155.000	61.520	-6.82574
summer	small	medium	8.54	12.83	 22.5450	 4.000	  170.500	  68.000	 116.069	41.600	9.10936
autumn	small	medium	8.50	 7.80	 71.0000	11.020	  500.000	 121.000	  89.167	 7.100	-4.04518
spring	small	medium	7.70	 6.80	 65.0000	 1.833	  782.500	  77.250	 340.000	 9.000	26.316
autumn	small	high	8.40	10.50	 50.6000	10.494	  334.000	 209.100	 276.667	20.720	-2.35002
summer	small	high	8.50	11.50	 57.2920	10.526	  312.600	 261.400	 299.400	23.500	-1.52771
summer	small	high	8.10	12.20	 66.0000	 4.080	   10.000	  26.000	  70.000	 1.800	29.49633
autumn	small	low	6.13	11.23	  8.8700	 0.620	   36.000	   3.000	  14.741	 2.100	52.45661
winter	small	medium	8.03	12.10	 18.0000	 3.140	   10.000	  21.000	  41.000	 4.800	-12.35375
summer	small	medium	7.20	10.40	 18.0000	 2.420	   80.000	  11.000	  44.000	 2.500	32.10364
spring	small	medium	7.90	 8.60	 27.6500	 2.063	   62.500	   7.750	  30.000	 4.500	35.11472
autumn	small	medium	7.80	 9.10	 36.1240	 5.974	  169.000	  13.091	  71.057	 3.300	31.18982
summer	small	high	7.80	 9.40	  5.7140	 0.807	   22.143	   6.000	  18.714	 1.500	36.84378
autumn	small	high	7.80	11.35	  5.3430	 1.363	   19.750	   5.818	   8.846	 1.900	24.86079
autumn	small	high	5.90	11.90	 32.1775	 1.880	    5.000	   1.000	   2.000	 4.500	26.38392
winter	small	high	6.80	 9.10	 32.1775	 0.780	   10.000	   1.000	  14.000	 4.500	29.9129
summer	small	medium	6.60	 8.80	 32.1775	 0.950	   20.000	   1.000	   7.000	 4.500	30.45253
winter	small	high	6.60	11.80	 32.1775	 2.210	   10.000	   1.000	   4.000	 4.500	44.86115
winter	small	medium	6.90	 9.20	 32.1775	 2.210	   10.000	   2.000	  13.000	 4.500	21.42068
winter	small	high	7.66	10.80	  4.0000	 0.997	   15.000	   1.500	   7.333	 1.000	35.41896
autumn	small	high	7.60	10.50	  3.0500	 1.002	   13.333	   1.667	  10.833	 4.500	28.4076
autumn	small	medium	7.80	 6.90	 31.3750	 0.933	 2138.570	 152.429	 317.500	15.400	19.67059
winter	medium	medium	8.00	 7.00	 37.0910	 2.237	  146.364	  84.091	 172.778	 2.300	9.71042
spring	medium	medium	8.20	 7.80	 37.6250	 1.453	  105.714	  66.714	 143.400	 2.600	-0.96215
autumn	medium	medium	8.20	10.70	134.6670	 4.504	  617.778	  49.444	 164.778	19.200	8.82189
summer	medium	medium	8.00	 8.50	131.4690	 3.454	  792.000	  63.100	 286.600	 8.200	-12.10638
autumn	medium	high	8.90	10.50	 34.8000	 6.000	  122.556	  41.111	 144.111	27.030	-5.43215
summer	medium	high	8.20	 9.20	 30.0370	 5.184	  174.800	  86.600	 130.800	 3.450	10.27146
summer	medium	medium	7.80	 8.80	 29.0780	 2.823	  263.556	  27.000	  95.120	11.500	21.29133
summer	medium	high	7.50	10.80	 10.3570	 3.350	  127.667	  22.000	  34.321	 1.200	64.15982
spring	medium	high	7.40	 9.00	 13.7500	 5.268	   58.750	  56.250	  64.000	 2.500	9.24727
spring	medium	medium	7.50	 8.90	 55.8000	 4.408	  389.000	 127.400	 206.200	 5.000	-8.1437
spring	medium	medium	7.80	10.40	 49.0000	 7.557	 6433.330	 170.667	 341.000	 2.300	9.48361
autumn	medium	medium	9.10	 8.00	101.2000	 4.306	  273.750	 152.875	 290.313	10.700	0.32098
autumn	medium	high	8.90	 8.00	 60.2000	 4.033	  306.471	 136.000	 242.941	18.400	-13.74662
summer	medium	low	8.50	10.74	 56.2920	 0.694	  264.800	  43.400	 124.942	30.480	48.7916
autumn	medium	high	8.30	 8.60	 75.0000	 5.180	  560.000	  30.500	 170.000	16.700	4.14483
